,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate
Min,81.00,72.00,35.00,1.00,9.00,139.00,1.00,2340.00,1780.00,96.00,250.00,8.00,24.00,2.50,0.00,3186.00,10.00
Max,48094.00,26330.00,6392.00,96.00,100.00,31643.00,21836.00,21700.00,8124.00,2340.00,6800.00,103.00,100.00,39.80,64.00,56233.00,118.00
Mean,3001.64,2018.80,779.97,27.56,55.80,3699.91,855.30,10440.67,4357.53,549.38,1340.64,72.66,79.70,14.09,22.74,9660.17,65.46
Median,1558.00,1110.00,434.00,23.00,54.00,1707.00,353.00,9990.00,4200.00,500.00,1200.00,75.00,82.00,13.60,21.00,8377.00,65.00
,,,,,,,,,,,,,,,,,
,Min,Max,Mean,Median,,,,,,,,,,,,,
Apps,81.00,48094.00,3001.64,1558.00,,,,,,,,,,,,,
Accept,72.00,26330.00,2018.80,1110.00,,,,,,,,,,,,,
Enroll,35.00,6392.00,779.97,434.00,,,,,,,,,,,,,
Top10perc,1.00,96.00,27.56,23.00,,,,,,,,,,,,,
Top25perc,9.00,100.00,55.80,54.00,,,,,,,,,,,,,
F.Undergrad,139.00,31643.00,3699.91,1707.00,,,,,,,,,,,,,
P.Undergrad,1.00,21836.00,855.30,353.00,,,,,,,,,,,,,
Outstate,2340.00,21700.00,10440.67,9990.00,,,,,,,,,,,,,
Room.Board,1780.00,8124.00,4357.53,4200.00,,,,,,,,,,,,,
Books,96.00,2340.00,549.38,500.00,,,,,,,,,,,,,
Personal,250.00,6800.00,1340.64,1200.00,,,,,,,,,,,,,
PhD,8.00,103.00,72.66,75.00,,,,,,,,,,,,,
Terminal,24.00,100.00,79.70,82.00,,,,,,,,,,,,,
S.F.Ratio,2.50,39.80,14.09,13.60,,,,,,,,,,,,,
perc.alumni,0.00,64.00,22.74,21.00,,,,,,,,,,,,,
Expend,3186.00,56233.00,9660.17,8377.00,,,,,,,,,,,,,
Grad.Rate,10.00,118.00,65.46,65.00,,,,,,,,,,,,,
